iter	Passed	Remaining
0	1	159
1	2	134
2	4	132
3	5	125
4	6	123
5	7	123
6	9	132
7	11	129
8	12	124
9	13	121
10	14	118
11	15	116
12	16	113
13	18	111
14	19	109
15	20	107
16	21	104
17	22	103
18	23	101
19	24	99
20	26	97
21	27	96
22	28	94
23	29	92
24	30	90
25	31	89
26	32	87
27	33	86
28	34	84
29	35	83
30	36	81
31	37	80
32	39	79
33	40	77
34	41	76
35	42	75
36	43	73
37	44	72
38	45	71
39	46	69
40	48	69
41	49	68
42	50	67
43	51	65
44	52	64
45	53	63
46	55	62
47	56	60
48	57	59
49	58	58
50	59	57
51	60	56
52	62	55
53	63	53
54	64	52
55	65	51
56	66	50
57	67	49
58	69	48
59	70	46
60	71	45
61	72	44
62	73	43
63	74	42
64	75	40
65	77	39
66	78	38
67	79	37
68	80	36
69	81	34
70	82	33
71	83	32
72	84	31
73	85	30
74	87	29
75	89	28
76	90	26
77	91	25
78	92	24
79	93	23
80	94	22
81	95	20
82	96	19
83	97	18
84	98	17
85	99	16
86	100	15
87	102	13
88	103	12
89	104	11
90	105	10
91	106	9
92	107	8
93	108	6
94	110	5
95	111	4
96	112	3
97	113	2
98	114	1
99	115	0
