iter	Passed	Remaining
0	142	142591
1	143	71672
2	144	47962
3	144	36070
4	145	28974
5	146	24233
6	146	20850
7	147	18314
8	148	16355
9	149	14797
10	150	13529
11	152	12524
12	152	11612
13	153	10828
14	154	10140
15	155	9540
16	155	9014
17	156	8549
18	157	8126
19	158	7745
20	158	7401
21	159	7088
22	160	6803
23	160	6543
24	161	6304
25	162	6086
26	163	5881
27	164	5697
28	165	5525
29	165	5359
30	166	5208
31	167	5065
32	168	4934
33	169	4804
34	169	4682
35	170	4565
36	171	4459
37	172	4356
38	172	4260
39	173	4168
40	174	4081
41	175	4001
42	176	3923
43	177	3848
44	178	3780
45	179	3713
46	179	3647
47	180	3586
48	182	3537
49	183	3480
50	183	3422
51	184	3366
52	185	3311
53	186	3261
54	186	3212
55	187	3162
56	188	3117
57	189	3072
58	189	3029
59	190	2989
60	191	2950
61	192	2913
62	193	2879
63	194	2842
64	195	2809
65	196	2777
66	197	2743
67	197	2711
68	198	2679
69	199	2648
70	200	2618
71	200	2589
72	201	2559
73	202	2532
74	203	2506
75	204	2480
76	204	2456
77	205	2431
78	206	2408
79	207	2384
80	208	2365
81	209	2346
82	210	2321
83	210	2300
84	211	2280
85	212	2259
86	213	2239
87	214	2220
88	215	2201
89	215	2182
90	216	2164
91	217	2146
92	218	2129
93	219	2111
94	219	2094
95	220	2078
96	221	2062
97	222	2047
98	224	2039
99	225	2026
100	226	2011
101	226	1997
102	227	1982
103	228	1969
104	229	1955
105	230	1942
106	231	1928
107	231	1915
108	232	1903
109	233	1890
110	234	1877
111	235	1865
112	236	1853
113	236	1841
114	237	1831
115	239	1822
116	239	1810
117	240	1800
118	241	1789
119	242	1778
120	243	1767
121	244	1756
122	244	1746
123	245	1735
124	246	1725
125	247	1715
126	248	1704
127	248	1694
128	249	1686
129	250	1676
130	251	1667
131	252	1657
132	252	1649
133	254	1642
134	255	1635
135	256	1627
136	257	1619
137	258	1611
138	258	1604
139	259	1596
140	260	1588
141	261	1579
142	262	1572
143	263	1566
144	264	1559
145	265	1552
146	266	1545
147	267	1538
148	268	1533
149	269	1528
150	270	1522
151	271	1516
152	272	1509
153	273	1502
154	275	1500
155	276	1494
156	277	1487
157	278	1481
158	278	1475
159	279	1469
160	280	1461
161	281	1455
162	282	1449
163	283	1445
164	284	1441
165	285	1436
166	286	1430
167	287	1425
168	288	1420
169	289	1415
170	290	1410
171	291	1405
172	292	1399
173	293	1394
174	294	1390
175	295	1385
176	296	1380
177	298	1376
178	299	1372
179	300	1368
180	301	1363
181	302	1359
182	303	1354
183	304	1349
184	305	1344
185	306	1339
186	307	1335
187	308	1330
188	309	1326
189	310	1321
190	310	1317
191	312	1313
192	313	1309
193	314	1306
194	315	1302
195	316	1298
196	317	1293
197	318	1290
198	319	1286
199	320	1281
200	321	1277
201	322	1273
202	323	1269
203	324	1265
204	325	1261
205	326	1257
206	327	1253
207	328	1251
208	329	1248
209	330	1244
210	331	1240
211	332	1237
212	333	1233
213	334	1229
214	335	1226
215	336	1222
216	337	1218
217	338	1215
218	339	1211
219	340	1208
220	341	1204
221	343	1202
222	344	1199
223	345	1196
224	346	1193
225	347	1189
226	348	1186
227	349	1182
228	350	1178
229	351	1175
230	351	1171
231	352	1168
232	353	1165
233	354	1162
234	355	1158
235	357	1156
236	358	1153
237	359	1151
238	360	1149
239	361	1146
240	363	1143
241	364	1140
242	365	1137
243	366	1134
244	367	1131
245	368	1128
246	369	1126
247	370	1123
248	371	1120
249	372	1118
250	375	1119
251	376	1117
252	377	1115
253	378	1112
254	379	1110
255	381	1107
256	382	1106
257	383	1103
258	384	1100
259	385	1098
260	387	1095
261	388	1094
262	389	1091
263	390	1089
264	391	1086
265	392	1084
266	393	1081
267	395	1080
268	397	1079
269	398	1077
270	399	1075
271	400	1072
272	401	1070
273	402	1067
274	404	1065
275	405	1063
276	406	1061
277	407	1058
278	408	1056
279	409	1053
280	410	1051
281	411	1048
282	413	1046
283	414	1043
284	415	1041
285	416	1039
286	417	1036
287	418	1035
288	419	1032
289	420	1030
290	421	1028
291	423	1026
292	424	1023
293	425	1021
294	426	1019
295	427	1016
296	428	1014
297	429	1012
298	430	1010
299	431	1007
300	433	1005
301	434	1004
302	435	1002
303	436	1000
304	437	997
305	439	996
306	440	993
307	441	991
308	442	989
309	443	987
310	444	985
311	445	982
312	446	980
313	448	979
314	449	977
315	450	975
316	451	973
317	453	971
318	454	969
319	455	967
320	456	965
321	457	963
322	459	962
323	460	960
324	461	958
325	462	956
326	464	955
327	465	953
328	466	951
329	467	949
330	468	947
331	469	945
332	470	943
333	472	941
334	473	939
335	474	937
336	475	935
337	476	933
338	477	931
339	479	930
340	480	928
341	481	926
342	482	924
343	483	922
344	484	920
345	485	918
346	487	917
347	488	915
348	489	913
349	490	911
350	491	909
351	493	908
352	494	907
353	495	905
354	497	903
355	498	901
356	499	899
357	500	897
358	501	896
359	502	894
360	504	892
361	505	890
362	506	888
363	507	887
364	509	886
365	511	885
366	512	884
367	513	882
368	515	881
369	516	879
370	518	878
371	519	876
372	520	875
373	522	873
374	525	875
375	526	874
376	528	872
377	529	871
378	531	870
379	532	868
380	533	866
381	535	865
382	536	863
383	537	862
384	540	862
385	541	861
386	543	860
387	544	859
388	545	857
389	547	855
390	548	853
391	549	852
392	551	851
393	552	849
394	553	848
395	556	848
396	557	846
397	558	844
398	559	843
399	561	841
400	563	841
401	564	839
402	566	838
403	567	837
404	569	837
405	571	836
406	572	834
407	573	832
408	575	830
409	576	829
410	577	827
411	578	826
412	580	825
413	581	823
414	583	822
415	585	821
416	587	820
417	588	819
418	590	818
419	591	816
420	593	816
421	594	814
422	595	812
423	597	811
424	599	810
425	600	809
426	601	807
427	604	807
